,Ruta,Cant_pred,y_proba,y_pred,Cant_test,Especie,y_test
746,Muestreo ct sauce/CT S 2020/S17/IMG_3911.JPG,5,0.07440000000000002,0,1.0,guanaco,1
769,Muestreo ct sauce/CT S 2020/S17/IMG_5492.JPG,9,0.07166666666666666,0,1.0,choique,1
771,Muestreo ct sauce/CT S 2020/S17/IMG_5606.JPG,2,0.03400000000000003,0,1.0,passeriforme,1
777,Muestreo ct sauce/CT S 2020/S17/IMG_5830.JPG,6,0.07300000000000006,0,1.0,zorro gris,1
778,Muestreo ct sauce/CT S 2020/S17/IMG_6112.JPG,4,0.09475,0,1.0,zorro gris,1
780,Muestreo ct sauce/CT S 2020/S17/IMG_6142.JPG,1,0.949,1,2.0,guanaco,0
786,Muestreo ct sauce/CT S 2020/S17/S17 - (1044).JPG,6,0.08166666666666667,0,1.0,guanaco,1
806,Muestreo ct sauce/CT S 2020/S17/S17 - (1956).JPG,3,0.09266666666666667,0,1.0,zorro gris,1
822,Muestreo ct sauce/CT S 2020/S17/S17 - (512).JPG,1,0.954,1,3.0,choique,0
832,Muestreo ct sauce/CT S 2020/S17/S17 - (921).JPG,5,0.07240000000000002,0,1.0,choique,1
882,Muestreo ct sauce/CT S 2020/S18/z-S18 (1726).JPG,1,0.935,1,3.0,guanaco,0
888,Muestreo ct sauce/CT S 2020/S18/z-S18 (264).JPG,2,0.026499999999999968,0,1.0,choique,1
889,Muestreo ct sauce/CT S 2020/S18/z-S18 (269).JPG,3,0.05666666666666664,0,1.0,choique,1
940,Muestreo ct sauce/CT S 2020/S19/z-S19 (1452).JPG,2,0.07499999999999996,0,1.0,guanaco,1
943,Muestreo ct sauce/CT S 2020/S19/z-S19 (1476).JPG,2,0.09800000000000009,0,1.0,guanaco,1
948,Muestreo ct sauce/CT S 2020/S19/z-S19 (1541).JPG,1,0.91,1,2.0,guanaco,0
965,Muestreo ct sauce/CT S 2020/S19/z-S19 (2518).JPG,2,0.02750000000000008,0,1.0,guanaco,1
980,Muestreo ct sauce/CT S 2020/S19/z-S19 (2886).JPG,2,0.02950000000000008,0,1.0,guanaco,1
982,Muestreo ct sauce/CT S 2020/S19/z-S19 (3148).JPG,2,0.04849999999999999,0,1.0,guanaco,1
995,Muestreo ct sauce/CT S 2020/S19/z-S19 (407).JPG,2,0.0734999999999999,0,1.0,guanaco,1
1018,Muestreo ct sauce/CT S 2020/S2/IMG_0303.JPG,1,0.949,1,3.0,guanaco,0
1040,Muestreo ct sauce/CT S 2020/S2/z-S2- (77).JPG,2,0.03500000000000003,0,1.0,guanaco,1
1041,Muestreo ct sauce/CT S 2020/S2/z-S2- (78).JPG,3,0.04366666666666674,0,1.0,guanaco,1
1053,Muestreo ct sauce/CT S 2020/S4/0-S4 (10).JPG,3,0.041000000000000036,0,1.0,guanaco,1
1054,Muestreo ct sauce/CT S 2020/S4/0-S4 (113).JPG,1,0.961,1,2.0,choique,0
1059,Muestreo ct sauce/CT S 2020/S4/0-S4 (125).JPG,2,0.09299999999999997,0,1.0,guanaco,1
1061,Muestreo ct sauce/CT S 2020/S4/0-S4 (132).JPG,2,0.07299999999999995,0,1.0,guanaco,1
1063,Muestreo ct sauce/CT S 2020/S4/0-S4 (16).JPG,4,0.03925000000000001,0,1.0,guanaco,1
1064,Muestreo ct sauce/CT S 2020/S4/0-S4 (164).JPG,1,0.947,1,3.0,guanaco,0
1069,Muestreo ct sauce/CT S 2020/S4/0-S4 (57).JPG,1,0.933,1,2.0,guanaco,0
1070,Muestreo ct sauce/CT S 2020/S4/0-S4 (60).JPG,2,0.05449999999999999,0,1.0,guanaco,1
1071,Muestreo ct sauce/CT S 2020/S4/0-S4 (64).JPG,3,0.05966666666666676,0,1.0,guanaco,1
1097,Muestreo ct sauce/CT S 2020/S4/z-S4 (91).JPG,2,0.09950000000000003,0,1.0,guanaco,1
1107,Muestreo ct sauce/CT S 2020/S5/IMG_0182.JPG,2,0.03950000000000009,0,1.0,guanaco,1
1119,Muestreo ct sauce/CT S 2020/S6/0-S6 (9).JPG,1,0.963,1,2.0,choique,0
1144,Muestreo ct sauce/CT S 2021/S1/0-S1- (157).JPG,1,0.977,1,3.0,guanaco,0
1147,Muestreo ct sauce/CT S 2021/S1/0-S1- (1887).JPG,2,0.08599999999999997,0,1.0,guanaco,1
1148,Muestreo ct sauce/CT S 2021/S1/0-S1- (2074).JPG,2,0.04849999999999999,0,1.0,guanaco,1
1151,Muestreo ct sauce/CT S 2021/S1/0-S1- (552).JPG,2,0.05699999999999994,0,1.0,guanaco,1
1164,Muestreo ct sauce/CT S 2021/S1/0-S1- (709).JPG,3,0.09066666666666656,0,1.0,choique,1
1170,Muestreo ct sauce/CT S 2021/S1/0-S1- (911).JPG,2,0.09549999999999992,0,1.0,guanaco,1
1182,Muestreo ct sauce/CT S 2021/S1/1-S1- (208).JPG,2,0.050999999999999934,0,1.0,guanaco,1
