file,category,confidence,Ruta,Fecha,Hora,Datetime,FechaHora,Rafaga
S4-a- (2088).JPG,animal,0.971,Muestreo ct sauce/CT S 2023/S4/S4-a- (2088).JPG,2023-02-22,16:19:48,2023-02-22 16:19:48,2023-02-22 16:19:48,427
S4-a- (2089).JPG,animal,0.959,Muestreo ct sauce/CT S 2023/S4/S4-a- (2089).JPG,2023-02-22,16:20:41,2023-02-22 16:20:41,2023-02-22 16:20:41,428
S4-a- (2090).JPG,animal,0.958,Muestreo ct sauce/CT S 2023/S4/S4-a- (2090).JPG,2023-02-22,16:20:41,2023-02-22 16:20:41,2023-02-22 16:20:41,429
S4-a- (2091).JPG,animal,0.954,Muestreo ct sauce/CT S 2023/S4/S4-a- (2091).JPG,2023-02-22,16:20:42,2023-02-22 16:20:42,2023-02-22 16:20:42,430
S4-a- (2092).JPG,animal,0.95,Muestreo ct sauce/CT S 2023/S4/S4-a- (2092).JPG,2023-02-22,16:21:14,2023-02-22 16:21:14,2023-02-22 16:21:14,431
S4-a- (2093).JPG,animal,0.951,Muestreo ct sauce/CT S 2023/S4/S4-a- (2093).JPG,2023-02-22,16:21:15,2023-02-22 16:21:15,2023-02-22 16:21:15,432
S4-a- (2094).JPG,animal,0.949,Muestreo ct sauce/CT S 2023/S4/S4-a- (2094).JPG,2023-02-22,16:21:15,2023-02-22 16:21:15,2023-02-22 16:21:15,433
S4-a- (2095).JPG,animal,0.901,Muestreo ct sauce/CT S 2023/S4/S4-a- (2095).JPG,2023-02-22,16:21:52,2023-02-22 16:21:52,2023-02-22 16:21:52,434
S4-a- (2096).JPG,animal,0.89,Muestreo ct sauce/CT S 2023/S4/S4-a- (2096).JPG,2023-02-22,16:21:52,2023-02-22 16:21:52,2023-02-22 16:21:52,435
S4-a- (2097).JPG,animal,0.893,Muestreo ct sauce/CT S 2023/S4/S4-a- (2097).JPG,2023-02-22,16:21:52,2023-02-22 16:21:52,2023-02-22 16:21:52,436
S4-a- (2098).JPG,animal,0.886,Muestreo ct sauce/CT S 2023/S4/S4-a- (2098).JPG,2023-02-22,16:25:37,2023-02-22 16:25:37,2023-02-22 16:25:37,436
S4-a- (2099).JPG,animal,0.884,Muestreo ct sauce/CT S 2023/S4/S4-a- (2099).JPG,2023-02-22,16:25:38,2023-02-22 16:25:38,2023-02-22 16:25:38,436
S4-a- (2100).JPG,animal,0.9,Muestreo ct sauce/CT S 2023/S4/S4-a- (2100).JPG,2023-02-22,16:25:38,2023-02-22 16:25:38,2023-02-22 16:25:38,437
S4-a- (2101).JPG,animal,0.902,Muestreo ct sauce/CT S 2023/S4/S4-a- (2101).JPG,2023-02-22,16:26:05,2023-02-22 16:26:05,2023-02-22 16:26:05,438
S4-a- (2102).JPG,animal,0.889,Muestreo ct sauce/CT S 2023/S4/S4-a- (2102).JPG,2023-02-22,16:26:06,2023-02-22 16:26:06,2023-02-22 16:26:06,439
S4-a- (2103).JPG,animal,0.902,Muestreo ct sauce/CT S 2023/S4/S4-a- (2103).JPG,2023-02-22,16:26:06,2023-02-22 16:26:06,2023-02-22 16:26:06,440
S4-a- (2104).JPG,animal,0.846,Muestreo ct sauce/CT S 2023/S4/S4-a- (2104).JPG,2023-02-22,16:29:16,2023-02-22 16:29:16,2023-02-22 16:29:16,440
S4-a- (2105).JPG,animal,0.863,Muestreo ct sauce/CT S 2023/S4/S4-a- (2105).JPG,2023-02-22,16:29:17,2023-02-22 16:29:17,2023-02-22 16:29:17,440
S4-a- (2106).JPG,animal,0.869,Muestreo ct sauce/CT S 2023/S4/S4-a- (2106).JPG,2023-02-22,16:29:17,2023-02-22 16:29:17,2023-02-22 16:29:17,441
S4-a- (2107).JPG,animal,0.903,Muestreo ct sauce/CT S 2023/S4/S4-a- (2107).JPG,2023-02-22,16:30:57,2023-02-22 16:30:57,2023-02-22 16:30:57,442
S4-a- (2108).JPG,animal,0.895,Muestreo ct sauce/CT S 2023/S4/S4-a- (2108).JPG,2023-02-22,16:30:58,2023-02-22 16:30:58,2023-02-22 16:30:58,443
S4-a- (2109).JPG,animal,0.899,Muestreo ct sauce/CT S 2023/S4/S4-a- (2109).JPG,2023-02-22,16:30:58,2023-02-22 16:30:58,2023-02-22 16:30:58,444
S4-a- (2110).JPG,animal,0.9,Muestreo ct sauce/CT S 2023/S4/S4-a- (2110).JPG,2023-02-22,16:38:04,2023-02-22 16:38:04,2023-02-22 16:38:04,444
S4-a- (2111).JPG,animal,0.887,Muestreo ct sauce/CT S 2023/S4/S4-a- (2111).JPG,2023-02-22,16:38:05,2023-02-22 16:38:05,2023-02-22 16:38:05,444
S4-a- (2112).JPG,animal,0.889,Muestreo ct sauce/CT S 2023/S4/S4-a- (2112).JPG,2023-02-22,16:38:05,2023-02-22 16:38:05,2023-02-22 16:38:05,445
S4-a- (2113).JPG,animal,0.808,Muestreo ct sauce/CT S 2023/S4/S4-a- (2113).JPG,2023-02-22,16:52:15,2023-02-22 16:52:15,2023-02-22 16:52:15,445
S4-a- (2114).JPG,animal,0.87,Muestreo ct sauce/CT S 2023/S4/S4-a- (2114).JPG,2023-02-22,16:52:16,2023-02-22 16:52:16,2023-02-22 16:52:16,445
S4-a- (2115).JPG,animal,0.893,Muestreo ct sauce/CT S 2023/S4/S4-a- (2115).JPG,2023-02-22,16:52:16,2023-02-22 16:52:16,2023-02-22 16:52:16,446
S4-a- (2116).JPG,animal,0.943,Muestreo ct sauce/CT S 2023/S4/S4-a- (2116).JPG,2023-02-22,16:55:29,2023-02-22 16:55:29,2023-02-22 16:55:29,446
S4-a- (2117).JPG,animal,0.96,Muestreo ct sauce/CT S 2023/S4/S4-a- (2117).JPG,2023-02-22,16:55:30,2023-02-22 16:55:30,2023-02-22 16:55:30,446
S4-a- (2118).JPG,animal,0.97,Muestreo ct sauce/CT S 2023/S4/S4-a- (2118).JPG,2023-02-22,16:55:30,2023-02-22 16:55:30,2023-02-22 16:55:30,447
S4-a- (2119).JPG,animal,0.973,Muestreo ct sauce/CT S 2023/S4/S4-a- (2119).JPG,2023-02-22,16:56:05,2023-02-22 16:56:05,2023-02-22 16:56:05,448
S4-a- (2120).JPG,animal,0.969,Muestreo ct sauce/CT S 2023/S4/S4-a- (2120).JPG,2023-02-22,16:56:05,2023-02-22 16:56:05,2023-02-22 16:56:05,449
S4-a- (2121).JPG,animal,0.965,Muestreo ct sauce/CT S 2023/S4/S4-a- (2121).JPG,2023-02-22,16:56:05,2023-02-22 16:56:05,2023-02-22 16:56:05,450
S4-a- (2125).JPG,animal,0.943,Muestreo ct sauce/CT S 2023/S4/S4-a- (2125).JPG,2023-02-22,16:56:15,2023-02-22 16:56:15,2023-02-22 16:56:15,451
S4-a- (2126).JPG,animal,0.943,Muestreo ct sauce/CT S 2023/S4/S4-a- (2126).JPG,2023-02-22,16:56:16,2023-02-22 16:56:16,2023-02-22 16:56:16,452
S4-a- (2127).JPG,animal,0.944,Muestreo ct sauce/CT S 2023/S4/S4-a- (2127).JPG,2023-02-22,16:56:16,2023-02-22 16:56:16,2023-02-22 16:56:16,453
S4-a- (2128).JPG,person,0.9,Muestreo ct sauce/CT S 2023/S4/S4-a- (2128).JPG,2023-02-22,17:17:17,2023-02-22 17:17:17,2023-02-22 17:17:17,453
S4-a- (2129).JPG,person,0.895,Muestreo ct sauce/CT S 2023/S4/S4-a- (2129).JPG,2023-02-22,17:17:17,2023-02-22 17:17:17,2023-02-22 17:17:17,453
S4-a- (2130).JPG,person,0.911,Muestreo ct sauce/CT S 2023/S4/S4-a- (2130).JPG,2023-02-22,17:17:17,2023-02-22 17:17:17,2023-02-22 17:17:17,454
S4-a- (2137).JPG,animal,0.947,Muestreo ct sauce/CT S 2023/S4/S4-a- (2137).JPG,2023-02-23,09:41:14,2023-02-23 09:41:14,2023-02-23 09:41:14,454
S4-a- (2138).JPG,animal,0.958,Muestreo ct sauce/CT S 2023/S4/S4-a- (2138).JPG,2023-02-23,09:41:14,2023-02-23 09:41:14,2023-02-23 09:41:14,454
S4-a- (2139).JPG,animal,0.956,Muestreo ct sauce/CT S 2023/S4/S4-a- (2139).JPG,2023-02-23,09:41:14,2023-02-23 09:41:14,2023-02-23 09:41:14,455
S4-a- (2140).JPG,animal,0.832,Muestreo ct sauce/CT S 2023/S4/S4-a- (2140).JPG,2023-02-23,09:41:24,2023-02-23 09:41:24,2023-02-23 09:41:24,456
S4-a- (2141).JPG,animal,0.963,Muestreo ct sauce/CT S 2023/S4/S4-a- (2141).JPG,2023-02-23,09:41:24,2023-02-23 09:41:24,2023-02-23 09:41:24,457
S4-a- (2142).JPG,animal,0.809,Muestreo ct sauce/CT S 2023/S4/S4-a- (2142).JPG,2023-02-23,09:41:25,2023-02-23 09:41:25,2023-02-23 09:41:25,458
S4-a- (2143).JPG,animal,0.835,Muestreo ct sauce/CT S 2023/S4/S4-a- (2143).JPG,2023-02-23,09:42:06,2023-02-23 09:42:06,2023-02-23 09:42:06,459
S4-a- (2144).JPG,animal,0.845,Muestreo ct sauce/CT S 2023/S4/S4-a- (2144).JPG,2023-02-23,09:42:06,2023-02-23 09:42:06,2023-02-23 09:42:06,460
S4-a- (2145).JPG,animal,0.819,Muestreo ct sauce/CT S 2023/S4/S4-a- (2145).JPG,2023-02-23,09:42:06,2023-02-23 09:42:06,2023-02-23 09:42:06,461
S4-a- (2146).JPG,animal,0.919,Muestreo ct sauce/CT S 2023/S4/S4-a- (2146).JPG,2023-02-23,09:43:12,2023-02-23 09:43:12,2023-02-23 09:43:12,462
S4-a- (2147).JPG,animal,0.909,Muestreo ct sauce/CT S 2023/S4/S4-a- (2147).JPG,2023-02-23,09:43:12,2023-02-23 09:43:12,2023-02-23 09:43:12,463
S4-a- (2148).JPG,animal,0.923,Muestreo ct sauce/CT S 2023/S4/S4-a- (2148).JPG,2023-02-23,09:43:12,2023-02-23 09:43:12,2023-02-23 09:43:12,464
S4-a- (2149).JPG,animal,0.895,Muestreo ct sauce/CT S 2023/S4/S4-a- (2149).JPG,2023-02-23,09:43:20,2023-02-23 09:43:20,2023-02-23 09:43:20,465
S4-a- (2150).JPG,animal,0.898,Muestreo ct sauce/CT S 2023/S4/S4-a- (2150).JPG,2023-02-23,09:43:20,2023-02-23 09:43:20,2023-02-23 09:43:20,466
